Upload_logger 2022-12-28 00:12:07,862 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-30.userapi.com/impg/CC5aH14o2568p7Ntn-XJd0QU985HBYy8ROkvZQ/hZN7vodfm4s.jpg?size=2048x946&quality=96&sign=71d4583800fc278bd8c7e79d99bf7d5b&c_uniq_tag=j3LCtI7K7R-tipju0WxR1kZJWPdso8jnNMR95AZm_dM&type=album
Upload_logger 2022-12-28 00:12:08,312 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-80.userapi.com/impg/SufB5y1enutdXK4Q0LAr7g1UGOowsCyxcnStYw/GJOJDw-Cwx8.jpg?size=2560x1707&quality=96&sign=1946cff94383fdc75391bd1cf205dad6&c_uniq_tag=U5QHurditu88h6E-cyMW0B9m2SAQtN71hVECSIa8Wc8&type=album
Upload_logger 2022-12-28 00:12:09,629 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-53.userapi.com/impg/OYT1aZBpf5yLhv03rYrYktvbAYaaM5qj71Wvow/MDU_m9re9I8.jpg?size=2560x1707&quality=95&sign=31d76c2210b0f2cdf4b196703bbd1346&c_uniq_tag=DuqbmMHDCLiNSh0HmV67-jAYtUC5PSig7Hiz6fx8P_U&type=album
Upload_logger 2022-12-28 00:12:09,834 INFO All links was received
Upload_logger 2022-12-28 00:12:10,511 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-66.userapi.com/c5276/u138597392/-6/w_d76c29fe.jpg
Upload_logger 2022-12-28 00:12:10,775 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-38.userapi.com/c5904/u51249024/135905363/y_e92b6b28.jpg
Upload_logger 2022-12-28 00:12:11,778 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-43.userapi.com/c5277/u138597392/136682923/x_c356ca66.jpg
Upload_logger 2022-12-28 00:12:12,098 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-18.userapi.com/c5277/u138597392/136682923/y_40c3d947.jpg
Upload_logger 2022-12-28 00:12:12,408 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-56.userapi.com/c5904/u51249024/135905363/y_dd103232.jpg
Upload_logger 2022-12-28 00:12:13,420 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-88.userapi.com/c5796/u138597392/143657169/y_52e20250.jpg
Upload_logger 2022-12-28 00:12:14,845 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-87.userapi.com/c10519/u51249024/144464502/w_a91dd84f.jpg
Upload_logger 2022-12-28 00:12:15,528 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-51.userapi.com/c9856/u138597392/146905073/y_e6e20f5b.jpg
Upload_logger 2022-12-28 00:12:15,977 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-77.userapi.com/c9856/u138597392/146905073/y_76143bbe.jpg
Upload_logger 2022-12-28 00:12:16,785 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-41.userapi.com/c9856/u138597392/146905073/w_311e26eb.jpg
Upload_logger 2022-12-28 00:12:17,111 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-81.userapi.com/c11278/u138597392/150343890/y_6f8bc291.jpg
Upload_logger 2022-12-28 00:12:17,465 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-61.userapi.com/c11278/u138597392/150343890/y_09ded32a.jpg
Upload_logger 2022-12-28 00:12:18,526 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-67.userapi.com/c11010/u102458047/-7/z_a2e46f8c.jpg
Upload_logger 2022-12-28 00:12:19,183 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-78.userapi.com/c11010/u102458047/-7/z_546a5523.jpg
Upload_logger 2022-12-28 00:12:20,188 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-80.userapi.com/c10822/u138597392/155341957/y_fc9ef517.jpg
